nickname;blurb
Cristina;is that amber heard behind him
brooke johnson;I thought the notification was for Johnny Depp
Caiden Johnson577;Go watch the Johnny depp trial
fullermonkeybunch;@amber.jackson44 15 months
Bama88;It’s Johnny Depps gold he dropped
Three;Looks like johnny bravo
alizamiff;@johnnybeentheredonethat good one! So far away though
Jason Klein;#JOHNNY OR AMBER TEAM
Taylah Boulton;YOU SOUND LIKE  YOUNGER JOHNNY DEPP
Hello;@offlineinfinity0 no that would be amber
Wyatt;If heard wins depp wins the case
Rileyy <3;Amber from genshin? <3
Slitz;Why are y’all spamming depp
Loki’s gf;JUSTICE FOR JOHNNY DEPP
.;Ambers lawyers going to use this as evidence
GRAPEJUICE OVER ORANGE JUICE;That ain’t no Johnny Depp that’s Donny Wepp
Michael08;AMBER HEARD FOR THE WIN
<3;LET THE KING DEPP WIN
Ham;“AmBer MuSt WiN” bruh this is such a dumb way to just get views
oof poof712;Anyone who says amber is a walking L
Bingus meme cat;@watchyourtoneboy no depp
Angela Turner9203;I have cancer and I would love for u to draw Johnny depp plz
brooke;YOU LOOK LIKE EMMA CHAMBERLAIN
Rim19py83;why yall cheering for amber heard
Hi;Y’all Johnny deep fans weird
Hi;Johnny isn’t an angel …
jebat putina;@scubakitt.y amber abused him
Mikka-Jane/MJ :);Amber literally tried to throw the case off n she went off topic however many times
jebat putina;@scubakitt.y dont lie like u never watched depp movies
user2063625903533;Johnny should be winning by a land sulfide
WeirdoHunter;Depp Depp Depp. Why is his health even a LITTLE BIT DOWN!?
America Hernandez;only reason she know how to hit is cause she hits johnny
jebat putina;and i looked at him and sayd Johnny u hit me
Noah;People giving to heard is proof that amber beats up Johnny
Abner Krill;ambers gonna use this live stream in court
tammyarow;guys amber might shit in the ring
Marvel edits;@i._.rlly._.dont._.care uh oh and there is proof. for court amber just punched Johnny
Junior Tapia4915;What out guys amber might use this in court
El_sapito :D;que se fumo amber? xdddd
user5276524887659;Bro what is this (depp)
Duhastweinie;There’s no fatality for depp
user7464627744575;amber win she did nothing johnny abuse her
user7464627744575;amber win she did nothing johnny abuse her
user7464627744575;amber win she did nothing johnny abuse her
Vespa26;you should so Johnny Bravo
Vespa26;have you ever drawn Johnny Bravo?
Earth angel #3;Amber isn’t popular bc of a certain court thing but I like the name
Nicole;@brookechambers1 great thankyou x
Jane;@johnnyeller8 he isnt singing.  he is goldman right now
disturbedkay;your out if time johnny boy
Aaron;That puppet is related to Amber Heard
Mrhats_tattoo;Wetter than Amber Heard
Laura Ledesma;@amberdallaz nice thinking the same
ociel;@johnnyb420321  tu mama
Mariah Jean Brooks;Omg amber alert that made my day
Texas9595;Johnny Johnny yes papa
Dawn Cramer820;So was there proof Johnny was in penthouse
Jovan Caughman;Free Johnny she lying judge
Lisa Villafrade;One of her multiple personalities did it and she’s blaming it on Johnny.
celenec14;Can’t wait for Johnnys lawyers to take the stand with Amber!
Mark adrenal;What team are you on amber or Johnny
Dave. Robinson;GAME OVER, AMBER LOSES
William horvath214;if you are with amber heard you are a simp admit it
uh.kaylee.ig;IF JOHNNY WANTED TO BREAK HER SHIT IT WOULD BE ACTUALLY BROKEN BYEEE
dina_rosas;johnny johnny yes papa
armaniisanderss;Johnny bruises was black and purple it’s no way she got hit hers look like blush
Official horror account_;i cant wait for johnny
LuxyQuotes;team Jonny depppppppppppppp
Carla Hastings;Where’s the proof Johnny did it ? It’s all hearsay lol the mega pint
Kristy Lee;useless info in the defamation trial from amber
Julie Lane502;She’s the one that staged all that damage and blamed it on Johnny
zhy Pasquil;Couches and carpets are not safe with amber
William horvath214;if you are with amber heard you are a simp admit it
JayBaked;or any evidence of johnny raging other than slamming cabinets, which was when his mom died
Brenda Kowalski;how would this prove johnny did it though? she could have easily done this and blamed him.
_naivbrqz;I love youuuu mr depp
middlechery3;Where’s ur fake tears amber honey
skylahades;I think Amber did all this.
tee’;johnny johnny yes papa
Elizabeth Margarita ;pure lie of amber heard
jesscollins007;Glass on the floor…. It has to be wine glass and it has to be Johnny….
Kyle Hoovler;how  does she remember what penthouse? too much detail..gotta be a bit broad if you wanna lie amber.
Wong Kok Xuan;Why isnt Johnny talking
Em <3;Johnny slick back looking good
mememinta;johhny just dropping a glass by accident. amber: OMFG ABUSER
A pov creator from flop era;Lawyer:what’s your fave color amber:glass
Mello;Where is proof that is was done by Johnny? She went in and caused that and then took pictures. Plus
youngggleex;No one is going to take pics of all this and “not want Johnny to get introble”
user7961344469505;amber lawyers are reaching
Sammy Blevins;I think Johnny fell asleep
Kayla Swint277;johnny depp wins case closed
She’s not a I;Johnny’s taking a nap bro
Mona Ravenscraft;JOHNNYS THE VICTIM NOT AMBER
Heidi Jane Anderson;Amber is lying omg free Johnny go away Amber
She’s not a I;Lmao Johnny just taking a nap
KD;So Johnny was just walking around being crazy? Lol , while she was in the corner scared or what? lol
KPOPedit;So are they trying to say that johnny did it
Empress;so she bounced around from penthouse to island to country fighting with Johnny
America Aldaco;Good morning everybody except for Amber FTB
CarlieeeAllen;Soooo when is it gonna be Johnny’s teams turn??? Like damnnn
We are Royal Nostros;I love how content Johnny is
Gayle Bonacorsi;@stephannotwalkin not cheering johnny but amber IS lying.
delene.arnoldi2004@gmail.com;who would ever suspect poooor sttttutttterrrring professor Amber
Lexi;Amber looking musty as always .
Lisa Corpeno;everything is Johnny not her amber just wanted everything of his that he work hard for
Rwina_jehtoch;amber is soo such a weak person
Hannah Russell;Justice for Johnny !!
Chantelle Jansen va5;justice for Johnny Depp
_xoxoB;I thought Johnny lawyer was going to deal with her this week
